gemeente;regio;variabele;waarde;eenheid;kwaliteit;opmerking
Acedera;ext;umc_secano_ha;4;ha;ind;Badajoz groep 1, Decreto 46/1997 art. 1
Aceuchal;ext;umc_secano_ha;4;ha;ind;Badajoz groep 1
Ahillones;ext;umc_secano_ha;4;ha;ind;Badajoz groep 1
Alange;ext;umc_secano_ha;4;ha;ind;Badajoz groep 1
Badajoz;ext;umc_secano_ha;4;ha;ind;Badajoz groep 1
Merida;ext;umc_secano_ha;4;ha;ind;Badajoz groep 1
Montijo;ext;umc_secano_ha;4;ha;ind;Badajoz groep 1
Acedera;ext;umc_regadio_ha;1,5;ha;ind;Badajoz groep 1
Aceuchal;ext;umc_regadio_ha;1,5;ha;ind;Badajoz groep 1
