gemeente;regio;ha;prijs;url;kijkdatum;bron;opmerking
Pasaron de la Vera;Extremadura;154;540.000;;;AgroAnuncios;uit de eerste longlist, URL ontbreekt nog
Llerena;Extremadura;240;960.000;;;AgroAnuncios;uit de eerste longlist, URL ontbreekt nog
Penalsordo;Extremadura;667;2.700.000;;;AgroAnuncios;uit de eerste longlist, URL ontbreekt nog
Valdelacasa de Tajo;Extremadura;115;513.000;;;AgroAnuncios;uit de eerste longlist, URL ontbreekt nog
Mesas de Ibor;Extremadura;36,6;175.200;;;AgroAnuncios;uit de eerste longlist, URL ontbreekt nog
Trujillo;Extremadura;315;1.550.000;;;Cocampo;uit de eerste longlist, URL ontbreekt nog
Valdelacasa de Tajo;Extremadura;45;225.000;;;AgroAnuncios;uit de eerste longlist, URL ontbreekt nog
Rionegro del Puente;Castilla y Leon;21,2;34.500;https://www.idealista.com/inmueble/107962771/;2026-07-31;idealista;260 aparte parcelas, zie het dossier
